mayo_bench_MAYO_1
KeyGen cycles, 57, 1012, 3104, 20, 60, 67250, 34111, 383, 409
KeyGen cycles, 78, 1525, 2972, 16, 50, 93795, 33597, 310, 353
KeyGen cycles, 50, 938, 2843, 18, 103, 88191, 68170, 714, 2080
KeyGen cycles, 47, 957, 4423, 15, 156, 94369, 50721, 778, 1605
KeyGen cycles, 144, 1020, 2481, 17, 170, 85858, 57100, 519, 1498
KeyGen cycles, 82, 889, 2997, 19, 65, 85989, 60477, 655, 1939
KeyGen cycles, 66, 1110, 2511, 18, 144, 82848, 56277, 602, 1572
KeyGen cycles, 129, 854, 2383, 15, 151, 80248, 38060, 367, 419
KeyGen cycles, 64, 831, 3182, 16, 60, 69726, 35227, 363, 407
KeyGen cycles, 72, 919, 2718, 18, 171, 66213, 30119, 334, 318
KeyGen cycles, 45, 729, 2617, 17, 96, 68548, 28813, 289, 332
KeyGen cycles, 56, 768, 2292, 17, 49, 63861, 28606, 281, 310
KeyGen cycles, 57, 981, 3818, 17, 94, 63782, 30805, 288, 310
KeyGen cycles, 53, 848, 2492, 16, 60, 65392, 29203, 277, 362
KeyGen cycles, 45, 893, 2611, 19, 72, 67318, 31233, 295, 419
KeyGen cycles, 78, 930, 3510, 23, 88, 71389, 51554, 353, 324
KeyGen cycles, 49, 1002, 2578, 16, 54, 65243, 32567, 373, 411
KeyGen cycles, 57, 756, 2871, 17, 65, 69408, 30104, 308, 343
KeyGen cycles, 45, 843, 2197, 16, 54, 63719, 33551, 297, 431
KeyGen cycles, 58, 885, 8302, 15, 70, 64980, 44351, 302, 330
KeyGen cycles, 53, 823, 2414, 15, 65, 73168, 24394, 283, 462
KeyGen cycles, 53, 911, 1819, 16, 50, 81401, 32427, 312, 339
KeyGen cycles, 43, 788, 2219, 18, 82, 78255, 31352, 359, 448
KeyGen cycles, 72, 901, 3338, 16, 62, 76253, 28472, 330, 351
KeyGen cycles, 55, 1125, 2642, 18, 52, 64846, 36726, 396, 858
KeyGen cycles, 56, 2738, 3270, 18, 208, 70688, 30921, 314, 289
KeyGen cycles, 43, 1550, 4358, 16, 85, 69762, 30599, 568, 364
KeyGen cycles, 55, 1550, 2788, 18, 58, 72182, 26120, 345, 517
KeyGen cycles, 43, 1576, 2221, 16, 48, 96399, 26434, 275, 271
KeyGen cycles, 57, 891, 1614, 16, 49, 55532, 29340, 257, 259
KeyGen cycles, 41, 518, 1605, 16, 49, 55873, 23897, 283, 404
KeyGen cycles, 65, 645, 1632, 16, 49, 57983, 27325, 281, 263
KeyGen cycles, 41, 516, 2457, 16, 49, 57570, 27840, 261, 252
KeyGen cycles, 43, 536, 1537, 15, 49, 60612, 26764, 222, 257
KeyGen cycles, 43, 604, 1625, 17, 49, 56694, 24477, 273, 259
KeyGen cycles, 53, 512, 2340, 16, 51, 56944, 24981, 263, 266
KeyGen cycles, 41, 509, 1616, 16, 50, 56494, 27044, 238, 258
KeyGen cycles, 43, 530, 2711, 14, 52, 61985, 31660, 222, 258
KeyGen cycles, 41, 515, 4458, 17, 49, 68439, 26584, 227, 253
KeyGen cycles, 64, 533, 1766, 16, 51, 60075, 28884, 249, 258
KeyGen cycles, 41, 535, 1587, 14, 858, 63096, 33485, 632, 255
KeyGen cycles, 43, 528, 3664, 18, 47, 111339, 57029, 1026, 308
KeyGen cycles, 41, 1593, 3922, 17, 49, 72353, 29496, 261, 355
KeyGen cycles, 41, 1053, 1963, 16, 292, 71173, 30065, 217, 1008
KeyGen cycles, 55, 544, 2441, 16, 49, 56776, 31368, 220, 372
KeyGen cycles, 51, 522, 1728, 16, 50, 67127, 29985, 248, 322
KeyGen cycles, 53, 708, 2429, 16, 49, 67602, 29933, 218, 252
KeyGen cycles, 54, 714, 1765, 17, 49, 61392, 25999, 221, 253
KeyGen cycles, 41, 511, 1876, 17, 49, 67663, 31061, 213, 248
KeyGen cycles, 41, 878, 3527, 16, 49, 59250, 24204, 216, 248
KeyGen cycles, 41, 576, 1950, 17, 49, 55881, 26889, 341, 271
KeyGen cycles, 41, 839, 1809, 18, 111, 57188, 29690, 242, 269
KeyGen cycles, 43, 978, 2249, 17, 123, 56418, 30104, 238, 271
KeyGen cycles, 39, 589, 2687, 17, 162, 57227, 29429, 343, 256
KeyGen cycles, 44, 917, 2155, 17, 164, 55749, 35626, 371, 356
KeyGen cycles, 55, 661, 2332, 16, 50, 68287, 27045, 363, 261
KeyGen cycles, 51, 967, 1820, 15, 49, 70970, 30410, 225, 370
KeyGen cycles, 46, 765, 2086, 16, 49, 75225, 26902, 335, 273
KeyGen cycles, 41, 669, 1751, 16, 51, 55101, 25248, 205, 254
